numero,ChatGPT,Gemini,ConsigueTuOpo
1,A,A,A
2,A,A,A
3,A,A,A
4,A,A,A
5,A,A,A
6,A,A,A
7,A,A,A
8,D,D,B
9,B,B,B
10,A,A,A
11,B,B,B
12,D,D,D
13,A,A,A
14,C,C,C
15,C,C,C
16,B,B,B
17,B,B,B
18,A,A,A
19,D,D,D
20,B,B,B
21,C,C,C
22,D,D,D
23,B,B,B
24,C,C,C
25,B,A,C
26,A,B,A
27,C,C,C
28,A,A,A
29,B,B,B
30,C,C,C
31,D,D,D
32,D,B,A
33,D,D,D
34,B,D,B
35,B,B,B
36,A,A,A
37,A,A,A
38,C,C,C
39,D,D,D
40,B,B,B
41,A,A,A
42,C,C,C
43,B,B,B
44,A,A,A
45,B,B,B
46,B,B,B
47,C,C,C
48,A,A,A
49,D,D,D
50,A,A,A
51,B,B,B
52,A,A,A
53,B,B,B
54,B,B,B
55,A,C,A
56,B,B,B
57,D,D,D
58,C,C,C
59,B,B,B
60,C,C,C
61,A,A,A
62,D,D,D
63,B,B,B
64,D,D,D
65,C,C,C
66,A,C,B
67,D,D,D
68,A,A,A
69,C,C,C
70,C,C,C
71,D,D,D
72,A,A,A
73,B,B,B
74,C,C,C
75,B,B,B
76,C,C,C
77,D,D,D
78,B,B,B
79,A,A,A
80,D,D,D
81,C,C,C
82,D,D,D
83,C,C,C
84,C,C,C
85,A,A,A
86,B,B,B
87,C,C,C
88,A,A,A
89,D,D,D
90,B,B,B
